,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
39,U001,200769623,WAL-MAR systems,2020-03-12 00:54:08.828125000,2020.0,1930582162.0,2020-02-29,2020-03-15,2020-02-29,NAH4,50493.86,67,,,,29,2,2020,15,3,2020,29,2,2020,32,2983,
40,U001,200769623,WAL-MAR llc,2020-05-07 04:30:14.523437500,2020.0,1930802490.0,2020-04-21,2020-05-06,2020-04-21,NAH4,15489.43,67,,,,21,4,2020,6,5,2020,21,4,2020,32,2982,0-15
41,CA02,140104423,METRO  llc,2020-03-08 20:03:51.078125000,2020.0,2960617050.0,2020-02-27,2020-03-11,2020-03-01,CA10,93179.35,67,,,,27,2,2020,11,3,2020,1,3,2020,5,1876,
42,U001,200726979,BJ'S  systems,2020-05-04 08:41:59.384765625,2020.0,1930801417.0,2020-04-19,2020-05-04,2020-04-19,NAA8,360.33,67,,,,19,4,2020,4,5,2020,19,4,2020,19,320,0-15
43,U001,200743996,STATER  llc,2020-05-19 01:38:00.898437500,2020.0,1930660304.0,2020-03-16,2020-05-20,2020-03-16,NAGD,3826.03,67,,,,16,3,2020,20,5,2020,16,3,2020,31,2608,
44,U001,200752302,KROGER trust,2020-04-16 04:55:39.117187500,2020.0,1930733767.0,2020-04-02,2020-04-17,2020-04-02,NAA8,96674.05,67,,,,2,4,2020,17,4,2020,2,4,2020,19,1585,
45,CA02,140105686,SYSC llc,2020-05-20 05:29:49.296875000,2020.0,2960633120.0,2020-05-06,2020-05-18,2020-05-08,CA10,43230.3,67,,,,6,5,2020,18,5,2020,8,5,2020,5,2696,0-15
46,U001,200711029,WEGMAN corp,2020-04-16 14:15:40.234375000,2020.0,1930742932.0,2020-04-03,2020-04-18,2020-04-03,NAA8,14382.22,67,,,,3,4,2020,18,4,2020,3,4,2020,19,3006,
47,CA02,2001,KRAFT  corporation,2020-04-23 10:56:21.968750000,2020.0,2960622220.0,2020-03-20,2020-04-27,2020-03-23,NAG2,17828.07,67,,,,20,3,2020,27,4,2020,23,3,2020,30,1517,
48,U001,200769623,WAL-MAR llc,2020-05-06 16:57:26.191406250,2020.0,1930804924.0,2020-04-21,2020-05-06,2020-04-21,NAH4,35509.95,67,,,,21,4,2020,6,5,2020,21,4,2020,32,2982,0-15
49,U001,200769623,WAL-MAR associates,2020-04-19 12:51:21.070312500,2020.0,1930746955.0,2020-04-05,2020-04-20,2020-04-05,NAH4,13512.61,67,,,,5,4,2020,20,4,2020,5,4,2020,32,2976,
50,U001,200772670,ASSOCIAT corp,2020-04-10 09:33:46.562500000,2020.0,1930698156.0,2020-03-24,2020-04-08,2020-03-24,NAU5,24421.33,67,,,,24,3,2020,8,4,2020,24,3,2020,47,179,0-15
51,U001,200769623,WAL-MAR co,2020-05-05 06:27:14.875000000,2020.0,1930801200.0,2020-04-19,2020-05-04,2020-04-19,NAH4,11217.33,67,,,,19,4,2020,4,5,2020,19,4,2020,32,2977,0-15
52,U001,200769623,WAL-MAR systems,2020-04-26 19:03:15.960937500,2020.0,1930776682.0,2020-04-13,2020-04-28,2020-04-13,NAH4,12554.13,67,,,,13,4,2020,28,4,2020,13,4,2020,32,2983,
53,U001,200720238,WOODM co,2020-05-18 19:46:14.765625000,2020.0,1930858727.0,2020-05-06,2020-05-21,2020-05-06,NAA8,126919.03,67,,,,6,5,2020,21,5,2020,6,5,2020,19,2905,
54,CA02,140106408,WAL-M in,2020-04-28 23:49:53.656250000,2020.0,2960631200.0,2020-04-25,2020-05-05,2020-04-25,CA10,28537.68,67,,,,25,4,2020,5,5,2020,25,4,2020,5,2970,
55,U001,200769623,WAL-MAR co,2020-04-13 03:54:13.734375000,2020.0,1930729999.0,2020-04-01,2020-04-16,2020-04-01,NAH4,24834.9,67,,,,1,4,2020,16,4,2020,1,4,2020,32,2977,
56,U001,200769623,WAL-MAR us,2020-03-27 01:28:40.015625000,2020.0,1930653060.0,2020-03-15,2020-03-30,2020-03-15,NAH4,50202.83,67,,,,15,3,2020,30,3,2020,15,3,2020,32,2985,
57,U001,200769623,WAL-MAR us,2020-04-26 06:34:17.187500000,2020.0,1930715979.0,2020-04-01,2020-04-16,2020-04-01,NAH4,8299.7,67,,,,1,4,2020,16,4,2020,1,4,2020,32,2985,0-15
58,U001,200799367,MCL corporation,2020-04-07 05:49:05.589843750,2020.0,1930673430.0,2020-03-24,2020-04-08,2020-03-24,NAA8,51602.13,67,,,,24,3,2020,8,4,2020,24,3,2020,19,1814,
59,U001,200759878,SA co,2020-04-27 19:28:53.570312500,2020.0,1930783249.0,2020-04-14,2020-04-29,2020-04-14,NAH4,18900.99,67,,,,14,4,2020,29,4,2020,14,4,2020,32,2372,
60,U001,200794332,COST corp,2020-03-27 11:29:34.531250000,2020.0,1930638145.0,2020-03-14,2020-03-29,2020-03-14,NAAX,49467.7,67,,,,14,3,2020,29,3,2020,14,3,2020,21,616,
61,U001,200515231,US  us,2020-04-23 08:01:22.347656250,2020.0,1930768145.0,2020-04-09,2020-04-24,2020-04-09,NAA8,10187.66,67,,,,9,4,2020,24,4,2020,9,4,2020,19,2897,
62,U001,200782669,SYGMA corp,2020-03-27 16:41:41.080078125,2020.0,1930636977.0,2020-03-13,2020-03-28,2020-03-13,NAA8,237.4,67,,,,13,3,2020,28,3,2020,13,3,2020,19,2681,
63,U001,200769623,WAL-MAR foundation,2020-05-28 09:33:24.812500000,2020.0,1930882979.0,2020-05-12,2020-05-27,2020-05-12,NAH4,11532.84,67,,,,12,5,2020,27,5,2020,12,5,2020,32,2980,0-15
64,U001,200769623,WAL-MAR ,2020-04-06 00:55:07.468750000,2020.0,1930692833.0,2020-03-24,2020-04-08,2020-03-24,NAH4,20017.92,67,,,,24,3,2020,8,4,2020,24,3,2020,32,2975,
65,U001,200331749,SYSC foundation,2020-03-14 00:33:34.681640625,2020.0,1930579080.0,2020-02-28,2020-03-14,2020-02-28,NAA8,5320.85,67,,,,28,2,2020,14,3,2020,28,2,2020,19,2694,0-15
66,U001,200772670,ASSOCIAT associates,2020-05-10 04:33:33.656250000,2020.0,1930819529.0,2020-04-23,2020-05-08,2020-04-23,NAU5,30900.83,67,,,,23,4,2020,8,5,2020,23,4,2020,47,177,0-15
67,U001,200772670,ASSOCIAT us,2020-04-17 04:55:01.132812500,2020.0,1930736164.0,2020-04-02,2020-04-17,2020-04-02,NAU5,65843.26,67,,,,2,4,2020,17,4,2020,2,4,2020,47,186,0-15
68,U001,200706844,WINC foundation,2020-04-01 17:46:47.250000000,2020.0,1930599854.0,2020-03-04,2020-03-19,2020-03-04,NAA8,359.44,67,,,,4,3,2020,19,3,2020,4,3,2020,19,3040,0-15
69,U001,100043975,JAVA ,2020-04-23 15:23:28.843750000,2020.0,1930740345.0,2020-04-03,2020-04-18,2020-04-03,NAA8,1427.36,67,,,,3,4,2020,18,4,2020,3,4,2020,19,1393,0-15
70,U001,200762301,C&S WH in,2020-03-18 00:43:43.515625000,2020.0,1930592552.0,2020-03-04,2020-03-19,2020-03-04,NAC6,99091.71,67,,,,4,3,2020,19,3,2020,4,3,2020,24,438,
71,U001,200148860,DOLLA associates,2020-06-17 10:05:51.437500000,2020.0,1930732920.0,2020-04-03,2020-06-07,2020-04-03,NAGD,6543.44,67,,,,3,4,2020,7,6,2020,3,4,2020,31,797,0-15
72,CA02,100027744,OMEGA AD in,2020-05-17 00:27:36.765625000,2020.0,2960635652.0,2020-05-19,2020-05-19,2020-05-19,CAB1,4924.5,67,,,,19,5,2020,19,5,2020,19,5,2020,7,2029,
73,U001,100031704,DELHAIZE co,2020-03-13 08:21:56.828125000,2020.0,1930585468.0,2020-03-01,2020-03-16,2020-03-01,NAA8,106394.18,67,,,,1,3,2020,16,3,2020,1,3,2020,19,736,
74,U001,200799420,HT HA foundation,2020-04-08 00:57:58.843750000,2020.0,1930703225.0,2020-03-25,2020-04-09,2020-03-25,NAA8,801.1,67,,,,25,3,2020,9,4,2020,25,3,2020,19,2905,
75,U001,200974851,RESTA systems,2020-04-09 23:50:18.141601562,2020.0,1930706997.0,2020-03-26,2020-04-10,2020-03-26,NAA8,3566.69,67,,,,26,3,2020,10,4,2020,26,3,2020,19,2305,
76,U001,200769623,WAL-MAR in,2020-05-11 22:32:25.695312500,2020.0,1930830709.0,2020-04-28,2020-05-13,2020-04-28,NAH4,8885.57,67,,,,28,4,2020,13,5,2020,28,4,2020,32,2981,
77,U001,200793568,SUPE llc,2020-03-21 18:29:44.968750000,2020.0,1930630388.0,2020-03-10,2020-03-25,2020-03-10,NAA8,15893.27,67,,,,10,3,2020,25,3,2020,10,3,2020,19,2646,
78,U001,200759878,SA foundation,2020-03-19 11:12:26.109375000,2020.0,1930609945.0,2020-03-06,2020-03-21,2020-03-06,NAH4,70180.8,67,,,,6,3,2020,21,3,2020,6,3,2020,32,2375,
79,U001,200712187,SPAR in,2020-05-05 11:29:21.179687500,2020.0,1930806222.0,2020-04-20,2020-05-05,2020-04-20,NAA8,119384.36,67,,,,20,4,2020,5,5,2020,20,4,2020,19,2585,0-15
80,U001,100047532,KEYSTON associates,2020-03-19 17:00:03.914062500,2020.0,1930592834.0,2020-03-04,2020-03-19,2020-03-04,NAA8,11852.54,67,,,,4,3,2020,19,3,2020,4,3,2020,19,2905,0-15
81,U001,200794332,COST co,2020-03-18 12:06:55.273437500,2020.0,1930562584.0,2020-02-28,2020-03-19,2020-02-28,NA84,11225.42,67,,,,28,2,2020,19,3,2020,28,2,2020,16,615,
82,U001,200148860,DOLLA associates,2020-05-27 18:45:17.500000000,2020.0,1930699340.0,2020-03-25,2020-05-29,2020-03-25,NAGD,5456.75,67,,,,25,3,2020,29,5,2020,25,3,2020,31,797,
83,U001,200794332,COST llc,2020-05-22 16:53:56.267578125,2020.0,1930862420.0,2020-05-08,2020-05-23,2020-05-08,NAAX,81500.86,67,,,,8,5,2020,23,5,2020,8,5,2020,21,620,
84,U001,200555117,BURR trust,2020-04-10 15:25:48.773437500,2020.0,1930709963.0,2020-03-27,2020-04-11,2020-03-27,NAA8,749.14,67,,,,27,3,2020,11,4,2020,27,3,2020,19,387,
85,U001,200769623,WAL-MAR in,2020-05-21 13:11:25.718750000,2020.0,1930878284.0,2020-05-09,2020-05-24,2020-05-09,NAH4,2219.89,67,,,,9,5,2020,24,5,2020,9,5,2020,32,2981,
86,U001,200772670,ASSOCIAT corp,2020-04-06 06:19:14.195312500,2020.0,1930683241.0,2020-03-21,2020-04-05,2020-03-21,NAU5,15489.78,67,,,,21,3,2020,5,4,2020,21,3,2020,47,179,0-15
87,U001,200707822,PUBLI corporation,2020-05-18 03:29:55.937500000,2020.0,1930857983.0,2020-05-04,2020-05-19,2020-05-04,NAA8,126107.91,67,,,,4,5,2020,19,5,2020,4,5,2020,19,2205,
88,CA02,140104392,FLANAG us,2020-03-30 07:24:41.500000000,2020.0,2960619205.0,2020-03-06,2020-03-20,2020-03-10,CA10,2528.67,67,,,,6,3,2020,20,3,2020,10,3,2020,5,2905,0-15
89,U001,200769623,WAL-MAR corp,2020-05-11 23:03:27.257812500,2020.0,1930831780.0,2020-04-28,2020-05-13,2020-04-28,NAH4,11545.38,67,,,,28,4,2020,13,5,2020,28,4,2020,32,2978,
90,U001,200759878,SA systems,2020-04-12 11:45:23.671875000,2020.0,1930717567.0,2020-03-31,2020-04-15,2020-03-31,NAH4,47646.57,67,,,,31,3,2020,15,4,2020,31,3,2020,32,2378,
91,U001,200705742,DOT foundation,2020-03-14 08:10:42.759765625,2020.0,1930581678.0,2020-02-28,2020-03-14,2020-02-28,NAA8,5932.51,67,,,,28,2,2020,14,3,2020,28,2,2020,19,830,0-15
92,U001,200793568,SUPE trust,2020-04-05 11:19:57.281250000,2020.0,1930690537.0,2020-03-23,2020-04-07,2020-03-23,NAA8,1635.76,67,,,,23,3,2020,7,4,2020,23,3,2020,19,2648,
93,U001,200726979,BJ'S  ,2020-03-25 19:00:01.460937500,2020.0,1930646128.0,2020-03-12,2020-03-27,2020-03-12,NAA8,1286.3,67,,,,12,3,2020,27,3,2020,12,3,2020,19,312,
94,U001,200704858,WAKE corp,2020-04-22 20:52:23.781250000,2020.0,1930762384.0,2020-04-09,2020-04-24,2020-04-09,NAA8,99568.42,67,,,,9,4,2020,24,4,2020,9,4,2020,19,2949,
95,U001,200780383,MEIJ in,2020-04-04 11:51:25.937500000,2020.0,1930665025.0,2020-03-18,2020-04-02,2020-03-18,NAA8,3612.63,67,,,,18,3,2020,2,4,2020,18,3,2020,19,1851,0-15
96,U001,200762301,C&S WH associates,2020-04-25 19:43:03.296875000,2020.0,1930778021.0,2020-04-12,2020-04-27,2020-04-12,NAC6,102276.04,67,,,,12,4,2020,27,4,2020,12,4,2020,24,433,
97,CA02,140106271,LONGO  in,2020-04-17 11:36:49.343750000,2020.0,2960626604.0,2020-04-03,2020-04-17,2020-04-07,CA10,8615.45,67,,,,3,4,2020,17,4,2020,7,4,2020,5,1672,0-15
98,CA02,140104423,METRO  us,2020-05-01 01:14:47.056640625,2020.0,2960628851.0,2020-04-17,2020-05-01,2020-04-21,CA10,45059.55,67,,,,17,4,2020,1,5,2020,21,4,2020,5,1879,0-15
99,U001,200741174,M B  co,2020-03-30 07:58:36.750000000,2020.0,1930657267.0,2020-03-16,2020-03-31,2020-03-16,NAA8,5767.83,67,,,,16,3,2020,31,3,2020,16,3,2020,19,1692,
100,CA02,100030194,AMAZO llc,2020-04-10 23:13:20.250000000,2020.0,2960622411.0,2020-03-18,2020-03-30,2020-03-20,CA10,9851.67,67,,,,18,3,2020,30,3,2020,20,3,2020,5,103,0-15
101,U001,200769623,WAL-MAR trust,2020-04-10 20:17:58.281250000,2020.0,1930720012.0,2020-03-30,2020-04-14,2020-03-30,NAH4,42379.83,67,,,,30,3,2020,14,4,2020,30,3,2020,32,2984,
102,U001,200592182,DECA in,2020-05-11 00:28:39.015625000,2020.0,1930822583.0,2020-04-24,2020-05-09,2020-04-16,NAM4,1761.84,67,,,,24,4,2020,9,5,2020,16,4,2020,36,727,0-15
103,U001,200743996,STATER  co,2020-04-05 20:48:05.251953125,2020.0,1930686889.0,2020-03-22,2020-04-06,2020-03-22,NAA8,94612.03,67,,,,22,3,2020,6,4,2020,22,3,2020,19,2603,
104,U001,200769623,WAL-MAR in,2020-04-28 04:25:45.328125000,2020.0,1930787980.0,2020-04-15,2020-04-30,2020-04-15,NAH4,22226.35,67,,,,15,4,2020,30,4,2020,15,4,2020,32,2981,
105,U001,200749782,KROG associates,2020-05-08 06:55:11.031250000,2020.0,1930822131.0,2020-04-25,2020-05-10,2020-04-25,NAA8,88502.01,67,,,,25,4,2020,10,5,2020,25,4,2020,19,1555,
106,U001,200744019,TARG corp,2020-05-16 04:50:19.320312500,2020.0,1930641073.0,2020-03-13,2020-05-17,2020-03-13,NAGD,1982.06,67,,,,13,3,2020,17,5,2020,13,3,2020,31,2773,
107,U001,200769623,WAL-MAR foundation,2020-05-06 04:27:41.753906250,2020.0,1930804577.0,2020-04-21,2020-05-06,2020-04-21,NAH4,2326.08,67,,,,21,4,2020,6,5,2020,21,4,2020,32,2980,0-15
108,U001,200705742,DOT us,2020-03-21 21:28:30.250000000,2020.0,1930592413.0,2020-03-02,2020-03-17,2020-03-02,NAA8,9822.38,67,,,,2,3,2020,17,3,2020,2,3,2020,19,835,0-15
109,U001,200744019,TARG trust,2020-05-19 17:08:06.021484375,2020.0,1930857489.0,2020-05-05,2020-05-20,2020-05-05,NAA8,29592.42,67,,,,5,5,2020,20,5,2020,5,5,2020,19,2779,
110,U001,200772670,ASSOCIAT associates,2020-04-20 06:36:26.515625000,2020.0,1930739252.0,2020-04-03,2020-04-18,2020-04-03,NAU5,47903.76,67,,,,3,4,2020,18,4,2020,3,4,2020,47,177,0-15
111,U001,200769623,WAL-MAR corporation,2020-04-06 15:21:49.218750000,2020.0,1930692953.0,2020-03-24,2020-04-08,2020-03-24,NAH4,1898.9,67,,,,24,3,2020,8,4,2020,24,3,2020,32,2979,
112,U001,200900909,SYSCO in,2020-05-01 23:28:56.625000000,2020.0,1930741081.0,2020-04-03,2020-04-18,2020-04-03,NAA8,7524.17,67,,,,3,4,2020,18,4,2020,3,4,2020,19,2745,0-15
113,U001,200424504,M  in,2020-04-17 12:52:08.250000000,2020.0,1930830032.0,2020-04-28,2020-04-15,2020-04-15,NACG,2428.04,67,,,,28,4,2020,15,4,2020,15,4,2020,67,1685,0-15
114,U001,100031704,DELHAIZE trust,2020-06-18 03:54:50.296875000,2020.0,1930794735.0,2020-04-16,2020-06-20,2020-04-16,NAGD,1176.59,67,,,,16,4,2020,20,6,2020,16,4,2020,31,743,
115,U001,200764795,SYSCO  us,2020-04-18 23:48:49.853515625,2020.0,1930637455.0,2020-03-18,2020-04-19,2020-03-18,NA32,10978.51,67,,,,18,3,2020,19,4,2020,18,3,2020,12,2711,
116,U001,200337148,COAS systems,2020-04-01 20:50:45.125000000,2020.0,1930587342.0,2020-03-02,2020-03-17,2020-03-02,NAA8,45127.79,67,,,,2,3,2020,17,3,2020,2,3,2020,19,553,16-30
117,U001,200416837,DEC llc,2020-03-23 20:41:41.567382812,2020.0,1930599382.0,2020-03-04,2020-03-24,2020-03-01,NAM4,398.16,67,,,,4,3,2020,24,3,2020,1,3,2020,36,717,
118,U001,200769623,WAL-MAR llc,2020-03-21 23:42:49.828125000,2020.0,1930623646.0,2020-03-09,2020-03-24,2020-03-09,NAH4,58726.21,67,,,,9,3,2020,24,3,2020,9,3,2020,32,2982,
119,U001,200726979,BJ'S  associates,2020-03-26 16:07:03.904296875,2020.0,1930645815.0,2020-03-12,2020-03-27,2020-03-12,NAA8,588.49,67,,,,12,3,2020,27,3,2020,12,3,2020,19,313,
120,U001,200721222,GO us,2020-05-06 08:18:26.367187500,2020.0,1930800642.0,2020-04-20,2020-05-05,2020-04-20,NAA8,25685.07,67,,,,20,4,2020,5,5,2020,20,4,2020,19,1110,0-15
121,U001,200772595,SAFEW corporation,2020-04-29 20:17:56.500000000,2020.0,1930729101.0,2020-04-02,2020-04-17,2020-04-02,NAA8,10020.14,67,,,,2,4,2020,17,4,2020,2,4,2020,19,2387,0-15
122,U001,200820380,SMITH'S trust,2020-04-13 12:52:33.000000000,2020.0,1930716191.0,2020-03-30,2020-04-14,2020-03-30,NAA8,48022.97,67,,,,30,3,2020,14,4,2020,30,3,2020,19,2525,
123,U001,200793568,SUPE corporation,2020-04-26 03:00:42.203125000,2020.0,1930779652.0,2020-04-14,2020-04-29,2020-04-14,NAA8,36623.03,67,,,,14,4,2020,29,4,2020,14,4,2020,19,2643,
